DATE       | START   | STOP     | CATEGORY | ACTIVITIES | NOTES
12/01/2025 | 9:00 AM | 10:15 AM | Job Mngt |Morning planning; weekly report | 
12/01/2025 | 10:15 AM | 12:30 PM | Break || Dr appt	
12/01/2025 | 12:30 PM | 3:15 PM | Predict Math Success|Grade inflation| Various cuts of "overtime" at different quantiles
12/01/2025 | 3:15 PM | 3:30 PM | Job Mngt |Re-booting |
12/01/2025 | 3:30 PM | 4:00 PM | Predict Math Success | Grade inflation|
12/01/2025 | 4:00 PM | 7:30 PM | Break || 
12/01/2025 | 7:30 PM | 9:45 PM | Predict Math Success | Polishing "predictors over time" report |	
12/02/2025 | 8:30 AM | 8:45 AM | Job Mngt | Morning planning | 	
12/02/2025 | 8:45 AM | 12:15 PM | Predict Math Success | Adding visualizations; Writing up "Discussion" |
12/02/2025 | 12:15 PM | 1:15 PM | Break || 
12/02/2025 | 1:15 PM | 2:30 PM | Predict Math Success | Adding more visualizations | comparison heat maps and grade density plots
12/02/2025 | 2:30 PM | 2:45 PM | Break || 
12/02/2025 | 2:45 PM | 5:15 PM | Predict Math Success | Distributing reports (predictors over time, comparing models, polishing and sharing "deeper dive into vH2") |	
12/03/2025 | 10:30 AM | 12:00 PM | Predict Math Success | Predicting "W"; developing recommendations and guidelines | thinking through approaches 
12/03/2025 | 12:00 PM | 1:00 PM | Break || 
12/03/2025 | 1:00 PM | 2:00 PM | Job Mngt | UAIR Virtual Meeting | Role of analyst 
12/03/2025 | 2:00 PM | 5:00 PM | Predict Math Success | Predicting "W" | training and evaluating initial models
12/03/2025 | 5:00 PM | 8:15 PM | Break || 
12/03/2025 | 8:15 PM | 9:45 PM | Predict Math Success | Predicting "W" | adding predicted GPA
12/04/2025 | 9:00 AM | 10:30 AM | Predict Math Success | Predicting "W" | Tracking document and summary 
12/04/2025 | 10:30 AM | 12:00 PM | Break || 
12/04/2025 | 12:00 PM | 2:00 PM | Predict Math Success | Predicting "W" | Adding appendix to tracking document and distributing	
12/04/2025 | 2:00 PM | 3:30 PM | Break || Car problems	
12/04/2025 | 3:30 PM | 5:15 PM | Predict Math Success | Predicting "W" | Gentle guidelines plan; rolling predicted GPA		 
12/04/2025 | 5:15 PM | 8:30 PM | Break ||		
12/04/2025 | 8:30 PM | 11:00 PM | Predict Math Success | Predicting "W" | Training vD0 (rolling predicted GPA)	
12/05/2025 | 7:15 AM | 8:30 AM | Predict Math Success | Predicting "W"	| Comparing "match" distributions
12/05/2025 | 8:30 AM | 9:15 AM | Break ||		 
12/05/2025 | 9:15 AM | 11:00 AM | Predict Math Success | Predicting "W"	| Polishing and distributing reports	
12/05/2025 | 11:00 AM | 12:00 PM | Break ||
12/05/2025 | 12:00 PM | 3:00 PM | Predict Math Success | Zero and low grade binaries | Are zeros like "W" or do they behave like a grade?   
12/05/2025 | 3:00 PM | 3:15 PM | Break || 
12/05/2025 | 3:15 PM | 5:00 PM | Predict Math Success | IQR guidance graphic |	
